benchmark,n_samples,model,accuracy,roc_auc,pr_auc,precision,ai_recall,real_fpr,ai_fnr,f1,tp,fp,tn,fn,pct_routed_e20,pct_routed_e21
E19 Smartphone Benchmark,200,E21 Baseline,0.805,0.88355,0.8851705979198475,0.7563025210084033,0.9,0.29,0.1,0.8219178082191781,90,29,71,10,0.0,100.0
E19 Smartphone Benchmark,200,E22 Ensemble,0.8,0.9153,0.917430840709106,0.7678571428571429,0.86,0.26,0.14,0.8113207547169812,86,26,74,14,0.0,0.0
E19 Smartphone Benchmark,200,E23 Router (C_E22_blend),0.8,0.9153,0.917430840709106,0.7678571428571429,0.86,0.26,0.14,0.8113207547169812,86,26,74,14,0.0,0.0
E19 Smartphone Benchmark,200,E23 Pure Router (D9_disagree_e21),0.805,0.87475,0.8632162269212028,0.7563025210084033,0.9,0.29,0.1,0.8219178082191781,90,29,71,10,73.0,27.0
E19 WhatsApp Subset,60,E6-C Baseline,0.36666666666666664,0.30444444444444446,0.3746181994770598,0.2777777777777778,0.16666666666666666,0.43333333333333335,0.8333333333333334,0.20833333333333334,5,13,17,25,0.0,0.0
E19 WhatsApp Subset,60,E20 Baseline,0.7333333333333333,0.8911111111111111,0.8686986061514421,0.9375,0.5,0.03333333333333333,0.5,0.6521739130434783,15,1,29,15,100.0,0.0
E19 WhatsApp Subset,60,E21 Baseline,0.6166666666666667,0.6188888888888889,0.616775497407011,0.574468085106383,0.9,0.6666666666666666,0.1,0.7012987012987012,27,20,10,3,0.0,100.0
E19 WhatsApp Subset,60,E22 Ensemble,0.5666666666666667,0.6655555555555556,0.7025446432144488,0.5476190476190477,0.7666666666666667,0.6333333333333333,0.23333333333333334,0.6388888888888888,23,19,11,7,0.0,0.0
E19 WhatsApp Subset,60,E23 Router (C_E22_blend),0.5666666666666667,0.6655555555555556,0.7025446432144488,0.5476190476190477,0.7666666666666667,0.6333333333333333,0.23333333333333334,0.6388888888888888,23,19,11,7,0.0,0.0
E19 WhatsApp Subset,60,E23 Pure Router (D9_disagree_e21),0.6166666666666667,0.5311111111111111,0.4721540932441669,0.574468085106383,0.9,0.6666666666666666,0.1,0.7012987012987012,27,20,10,3,41.66666666666667,58.333333333333336
WhatsApp N=67 Benchmark,67,E6-C Baseline,0.6119402985074627,0.6550802139037433,0.6828057835176367,0.8181818181818182,0.2727272727272727,0.058823529411764705,0.7272727272727273,0.4090909090909091,9,2,32,24,0.0,0.0
WhatsApp N=67 Benchmark,67,E20 Baseline,0.5223880597014925,0.5320855614973262,0.5367080428338676,0.52,0.3939393939393939,0.35294117647058826,0.6060606060606061,0.44827586206896547,13,12,22,20,100.0,0.0
WhatsApp N=67 Benchmark,67,E21 Baseline,0.5522388059701493,0.5641711229946524,0.5512257546333469,0.5365853658536586,0.6666666666666666,0.5588235294117647,0.3333333333333333,0.5945945945945946,22,19,15,11,0.0,100.0
WhatsApp N=67 Benchmark,67,E22 Ensemble,0.5373134328358209,0.5632798573975044,0.5451242763242661,0.525,0.6363636363636364,0.5588235294117647,0.36363636363636365,0.5753424657534246,21,19,15,12,0.0,0.0
WhatsApp N=67 Benchmark,67,E23 Router (C_E22_blend),0.5373134328358209,0.5632798573975044,0.5451242763242661,0.525,0.6363636363636364,0.5588235294117647,0.36363636363636365,0.5753424657534246,21,19,15,12,0.0,0.0
WhatsApp N=67 Benchmark,67,E23 Pure Router (D9_disagree_e21),0.5522388059701493,0.551693404634581,0.5403519267406195,0.5365853658536586,0.6666666666666666,0.5588235294117647,0.3333333333333333,0.5945945945945946,22,19,15,11,52.23880597014925,47.76119402985074
