group_field,group_value,n,n_real,n_ai,e6c_acc,e20_acc,acc_delta,e6c_f1,e20_f1,f1_delta,e6c_recall,e20_recall,e6c_fpr,e20_fpr,e6c_auc,e20_auc,dataset
device_family,Apple iPhone (iPhone X),35,35,0,0.9428571428571428,1.0,0.05714285714285716,0.0,0.0,0.0,,,0.05714285714285714,0.0,,,E19_Smartphone_Benchmark
device_family,"Google Pixel (Pixel 7-9 family, exact model unspecified)",30,30,0,0.5666666666666667,0.9666666666666667,0.4,0.0,0.0,0.0,,,0.43333333333333335,0.03333333333333333,,,E19_Smartphone_Benchmark
device_family,Samsung Galaxy (Galaxy S9),35,35,0,0.9714285714285714,1.0,0.02857142857142858,0.0,0.0,0.0,,,0.02857142857142857,0.0,,,E19_Smartphone_Benchmark
device_family,Synthetic (None),100,0,100,0.55,0.74,0.18999999999999995,0.7096774193548387,0.8505747126436781,0.14089729328883938,0.55,0.74,,,,,E19_Smartphone_Benchmark
degradation_type,clean,140,70,70,0.8357142857142857,0.9214285714285714,0.08571428571428563,0.8130081300813008,0.9147286821705426,0.1017205520892418,0.7142857142857143,0.8428571428571429,0.04285714285714286,0.0,0.9389795918367347,0.9912244897959184,E19_Smartphone_Benchmark
degradation_type,whatsapp_simulation,60,30,30,0.36666666666666664,0.7333333333333333,0.36666666666666664,0.20833333333333334,0.6521739130434783,0.4438405797101449,0.16666666666666666,0.5,0.43333333333333335,0.03333333333333333,0.30444444444444446,0.8911111111111111,E19_Smartphone_Benchmark
generator,"FLUX (Flux LoRA Synthetic Corpus, exact engine unspecified)",20,0,20,0.1,0.35,0.24999999999999997,0.18181818181818182,0.5185185185185185,0.33670033670033667,0.1,0.35,,,,,E19_WhatsApp_Subset
generator,Google Gemini (exact underlying model unspecified),10,0,10,0.3,0.8,0.5,0.4615384615384615,0.888888888888889,0.42735042735042744,0.3,0.8,,,,,E19_WhatsApp_Subset
generator,None (Camera ISP),30,30,0,0.5666666666666667,0.9666666666666667,0.4,0.0,0.0,0.0,,,0.43333333333333335,0.03333333333333333,,,E19_WhatsApp_Subset
device_family,"Google Pixel (Pixel 7-9 family, exact model unspecified)",30,30,0,0.5666666666666667,0.9666666666666667,0.4,0.0,0.0,0.0,,,0.43333333333333335,0.03333333333333333,,,E19_WhatsApp_Subset
device_family,Synthetic (None),30,0,30,0.16666666666666666,0.5,0.33333333333333337,0.2857142857142857,0.6666666666666666,0.38095238095238093,0.16666666666666666,0.5,,,,,E19_WhatsApp_Subset
degradation_type,whatsapp_simulation,60,30,30,0.36666666666666664,0.7333333333333333,0.36666666666666664,0.20833333333333334,0.6521739130434783,0.4438405797101449,0.16666666666666666,0.5,0.43333333333333335,0.03333333333333333,0.30444444444444446,0.8911111111111111,E19_WhatsApp_Subset
generator,generator_unknown,33,0,33,0.2727272727272727,0.3939393939393939,0.12121212121212122,0.42857142857142855,0.5652173913043478,0.13664596273291924,0.2727272727272727,0.3939393939393939,,,,,WhatsApp_N67_Benchmark
generator,none,34,34,0,0.9411764705882353,0.6470588235294118,-0.2941176470588235,0.0,0.0,0.0,,,0.058823529411764705,0.35294117647058826,,,WhatsApp_N67_Benchmark
device_family,none,33,0,33,0.2727272727272727,0.3939393939393939,0.12121212121212122,0.42857142857142855,0.5652173913043478,0.13664596273291924,0.2727272727272727,0.3939393939393939,,,,,WhatsApp_N67_Benchmark
device_family,smartphone_unknown,34,34,0,0.9411764705882353,0.6470588235294118,-0.2941176470588235,0.0,0.0,0.0,,,0.058823529411764705,0.35294117647058826,,,WhatsApp_N67_Benchmark
degradation_type,whatsapp_transcode,67,34,33,0.6119402985074627,0.5223880597014925,-0.08955223880597019,0.4090909090909091,0.44827586206896547,0.03918495297805635,0.2727272727272727,0.3939393939393939,0.058823529411764705,0.35294117647058826,0.6550802139037433,0.5320855614973262,WhatsApp_N67_Benchmark
